[2022/05/20 17:10:42] - Namespace(batch_size=32, data_dir='./training_data.npy', epochs=80, epsilon=8, loss_scale='1.0', lr_max=0.04, lr_min=0.0, lr_schedule='cyclic', master_weights=False, minibatch_replays=8, momentum=0.9, opt_level='O2', out_dir='train_free_output', seed=0, weight_decay=0.0005)
[2022/05/20 17:10:59] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Robust Acc
[2022/05/24 04:41:15] - 71 	 5178.5 	 	 0.0080 	 1.5865 	 0.2612 	 0.2188
[2022/05/24 06:07:44] - 72 	 5189.0 	 	 0.0070 	 1.5873 	 0.2609 	 0.2500
[2022/05/24 07:36:14] - 73 	 5307.1 	 	 0.0060 	 1.5860 	 0.2615 	 0.2500
[2022/05/24 09:02:58] - 74 	 5201.5 	 	 0.0050 	 1.5865 	 0.2607 	 0.3438
[2022/05/24 10:14:34] - 75 	 4295.4 	 	 0.0040 	 1.5826 	 0.2627 	 0.1875
[2022/05/24 11:01:50] - 76 	 2835.3 	 	 0.0030 	 1.5836 	 0.2617 	 0.3750
[2022/05/24 11:51:27] - 77 	 2977.0 	 	 0.0020 	 1.5846 	 0.2571 	 0.3750
[2022/05/24 12:44:58] - 78 	 3210.1 	 	 0.0010 	 1.5838 	 0.2569 	 0.3750
[2022/05/24 13:38:40] - 79 	 3221.5 	 	 0.0000 	 1.5851 	 0.2538 	 0.2188
[2022/05/24 13:38:41] - Total train time: 5547.7019 minutes
[2022/05/25 07:19:46] - Test Loss 	 Test Acc 	 PGD Loss 	 PGD Acc
[2022/05/25 07:19:46] - 1.5069 	 	 0.3593 	 1.5343 	 0.2519
